key	description	normative	nominative	accusative	pronominal_poss	predicative_poss	dative	plural	pluralHonorific	pronounceable	history	thirdForm	smallForm	sourcesInfo
zij,zij/haar,zij/haar/haar	Vrouwelijk	TRUE	zij	haar	haar	hare	haar	FALSE	FALSE	TRUE
hij,hij/hem,hij/hem/zijn	Mannelijk	TRUE	hij	hem	zijn	zijne	hem	FALSE	FALSE	TRUE
hen,hen/hun,hen/hen/hun,hen/hun/hun	Neutraal	FALSE	hen	hen	hun	hunne	hun	FALSE	FALSE	TRUE
hen/hens,hen/hen/hens	Neutraal	FALSE	hen	hen	hens	hense	hun	FALSE	FALSE	TRUE
die/hen,die/hen/hun	Neutraal	FALSE	die	hen	hun	hunne	hun	FALSE	FALSE	TRUE
die,die/die,die/diens,die/die/diens	Neutraal	FALSE	die	die	diens	diense	die	FALSE	FALSE	TRUE
dee,dee/dem,dee/dem/dijr	Neutraal	FALSE	dee	dem	dijr	dijre	dem	FALSE	FALSE	TRUE
dij,dij/dem,dij/dem/dijr	Neutraal	FALSE	dij	dem	dijr	dijre	dem	FALSE	FALSE	TRUE
nij,nij/ner,nij/nem/nijr	Neutraal	FALSE	nij	ner	nijr	nijre	ner	FALSE	FALSE	TRUE	Bedenker: Sylvia Londo
vij,vij/vijn,vij/vijn/vijns	Neutraal	FALSE	vij	vijn	vijns	vijne	vijn	FALSE	FALSE	TRUE
vij/her,vij/her/zaar	Neutraal	FALSE	vij	her	zaar	zare	her	FALSE	FALSE	TRUE	Bedenker: Eva
zhij,zhij/zhaar,zhij/zhaar/zhaar	Neutraal	FALSE	zhij	zhaar	zhaar	zhare	zhaar	FALSE	FALSE	TRUE	"Gebaseerd op het Engelse voornaamwoord {https://en.pronouns.page/zhe=""zhe/zher""}."
zem,zem/zeer,zem/zeer/zeer	Neutraal	FALSE	zem	zeer	zeer	zere	zeer	FALSE	FALSE	TRUE	"Gebaseerd op het Engelse voornaamwoord {https://en.pronouns.page/ze/zir=""ze/zir""}."
